Open,Close,High,Low,Volume,Date
8562.6,8445.1,8588.3,8445.1,220,117,457.00,03/31/22
8583.3,8550.6,8597.4,8508.9,185,389,001.00,03/30/22
8451,8614.6,8621,8419.7,257,812,173.00,03/29/22
8354.4,8365.6,8485.7,8354.4,167,961,816.00,03/28/22
8314.1,8330.6,8363.2,8286.5,156,189,016.00,03/25/22
8352.1,8305.1,8380,8274.5,175,543,509.00,03/24/22
8509.6,8328.4,8522.2,8328.4,184,043,567.00,03/23/22
8415.7,8487.2,8487.2,8400.7,176,349,761.00,03/22/22
8417.3,8389.2,8465.6,8389.2,149,776,390.00,03/21/22
8422.4,8417.6,8434.1,8309.2,336,645,782.00,03/18/22
8409.5,8412,8445.8,8317.4,243,534,762.00,03/17/22
8375.7,8380.4,8475.5,8324.6,331,698,460.00,03/16/22
8150.2,8236.1,8286.7,8092.7,238,010,137.00,03/15/22
8228.9,8234.4,8313.4,8190.3,236,741,436.00,03/14/22
8115.3,8142.1,8375.3,8068.1,333,210,296.00,03/11/22
8166.5,8069.3,8197.1,7997.2,320,297,843.00,03/10/22
8043.4,8163.1,8163.1,7976.3,358,258,689.00,03/09/22
7569.8,7783.4,7923.7,7566.1,372,800,452.00,03/08/22
7510.4,7644.6,7769.7,7287.7,469,180,442.00,03/07/22
7988.5,7720.9,8000.2,7719,395,646,286.00,03/04/22
8296.1,8011.4,8349.6,7978.4,297,390,253.00,03/03/22
8145.9,8321,8371,8071.2,339,701,756.00,03/02/22
8462.1,8188.2,8510.3,8188.2,360,174,602.00,03/01/22
8302.8,8479.2,8500.4,8286.9,396,635,829.00,02/28/22
8242.9,8486.6,8496.5,8188.1,381,377,544.00,02/25/22
8084.2,8198.5,8254.2,8048,526,124,664.00,02/24/22
8519.1,8440.1,8607.5,8410.7,190,892,292.00,02/23/22
8295.2,8493.2,8551.1,8262.6,231,609,070.00,02/22/22
8638.8,8488.9,8666.4,8439,164,763,040.00,02/21/22
8678.9,8590,8708,8564.1,189,687,529.00,02/18/22
8713,8671.1,8749.7,8631.8,171,634,339.00,02/17/22
8735.3,8737.2,8798,8678.2,171,253,120.00,02/16/22
8533.3,8718,8721.1,8521.2,207,323,920.00,02/15/22
8583.9,8573.8,8643.2,8504.5,310,665,365.00,02/14/22
8797.3,8798.1,8833.5,8766.5,213,210,707.00,02/11/22
8871.5,8886.2,8912.2,8819.1,281,274,127.00,02/10/22
8736.3,8846.4,8850.2,8716.9,262,478,847.00,02/09/22
8576.4,8674.6,8702.3,8572.5,282,897,636.00,02/08/22
8646.3,8558.4,8649.8,8509,255,601,383.00,02/07/22
8741.6,8589.3,8770.1,8551.1,314,163,077.00,02/04/22
8694.4,8689.4,8735.6,8660.1,276,245,229.00,02/03/22
8782.9,8713.2,8785.2,8713.2,182,818,472.00,02/02/22
8679.9,8726.7,8745.1,8665,208,657,027.00,02/01/22
