Open,Close,High,Low,Volume,Date
0,10367.36,10367.36,10336.6,633.00,03/31/22
0,10390.1,10390.5,10390,507.00,03/30/22
0,10349,10350,10348.75,809.00,03/29/22
0,10226.15,10226.25,10225,842.00,03/28/22
0,10278.85,10280,10278.75,1,438.00,03/25/22
0,10326.75,10425,10326.75,1,107.00,03/24/22
0,10310.85,10312,10310,889.00,03/23/22
0,10341,10341.15,10340,1,091.00,03/22/22
0,10172.85,10175,10172.35,601.00,03/21/22
0,10247.85,10250,10247.75,686.00,03/18/22
0,10165.65,10165.85,10165,482.00,03/17/22
0,10100.35,10100.75,10100,1,081.00,03/16/22
0,9825.15,9825.25,9819,1,020.00,03/15/22
0,9877.65,9877.75,9877.25,4,388.00,03/14/22
0,10142.35,10143,10142.3,1,105.00,03/11/22
0,10052,10145,10052,1,291.00,03/10/22
0,10050.85,10052,10050,1,450.00,03/09/22
0,10160.9,10210,10160.9,1,737.00,03/08/22
0,10729.85,10729.85,10729.35,538.00,03/07/22
0,10466,10490,10465,798.00,03/04/22
0,10470,10470,10467.25,588.00,03/03/22
0,10257.4,10257.5,10255,1,042.00,03/02/22
0,9975,9975.25,9974.75,625.00,03/01/22
0,9972.85,9973.2,9972,1,048.00,02/28/22
0,9919.15,9920,9915,698.00,02/25/22
0,9982.65,9982.85,9980,1,059.00,02/24/22
0,10004,10005,10000,868.00,02/23/22
0,10018.85,10020,10010,844.00,02/22/22
0,9959.75,9960,9959.5,1,398.00,02/21/22
0,10012.5,10020,10012.25,533.00,02/18/22
0,10007.5,10007.65,10005,1,388.00,02/17/22
0,10045.25,10050,10045.1,1,253.00,02/16/22
0,10017.35,10017.75,10017.25,774.00,02/15/22
0,9880,9880,9879.25,2,647.00,02/14/22
0,10040,10040,10039.3,2,954.00,02/11/22
0,10220,10225.15,10219.85,3,029.00,02/10/22
0,9880.85,9880.85,9880,1,948.00,02/09/22
0,9757.65,9758.5,9757.2,1,793.00,02/08/22
0,9849.85,9850,9849.35,2,763.00,02/07/22
0,9875,9875,9870,500.00,02/04/22
0,9782.5,9782.75,9780,502.00,02/03/22
0,9877.35,9878,9877.25,654.00,02/02/22
0,9700.5,9700.85,9700,775.00,02/01/22
0,9617.5,9620,9610,1,455.00,01/31/22
0,9678,9679,9677,1,168.00,01/28/22
0,9872,9872,9870,906.00,01/27/22
0,9962.35,9962.7,9962,1,636.00,01/26/22
0,9835.6,9835.6,9705,2,341.00,01/25/22
0,9762.85,9800.15,9762.85,2,454.00,01/24/22
0,9983.85,9999.5,9965,1,665.00,01/21/22
0,10018.1,10018.1,9922.25,638.00,01/20/22
0,9863.85,9863.85,9799.75,1,025.00,01/19/22
0,9685.35,9707,9685.35,727.00,01/18/22
0,9748.85,9748.85,9674.1,3,478.00,01/17/22
0,9730.1,9900,9730.1,1,113.00,01/14/22
0,9972.1,9975,9971.3,585.00,01/13/22
0,9972.25,0,0,,01/12/22
0,10081,0,0,,01/11/22
0,9664.6,9665,9664.6,1,396.00,01/10/22
0,9691.85,9691.85,9612.25,1,111.00,01/07/22
0,9542.6,9565,9542.6,1,166.00,01/06/22
0,9708.1,9776.5,9708.1,1,037.00,01/05/22
0,9788.35,9788.35,9657.25,517.00,01/04/22
0,9691.5,9700.2,9691,832.00,12/31/21
0,9712.5,9715,9712.25,716.00,12/30/21
0,9652.35,9653,9650,1,369.00,12/29/21
